
Dataset Validation
======================================================================

  Split: train    STATUS: OK
    Cider                             405 images
    IPA                               345 images
    Lager                             267 images
    Stout                             478 images
    Wheat                             433 images

  Split: val    STATUS: OK
    Cider                             86 images
    IPA                               74 images
    Lager                             57 images
    Stout                             102 images
    Wheat                             92 images

  Split: test    STATUS: OK
    Cider                             88 images
    IPA                               75 images
    Lager                             58 images
    Stout                             104 images
    Wheat                             94 images

======================================================================
VALIDATION RESULT: PASSED   (all splits and classes found)
======================================================================

  Class weights (inverse-frequency):
    Cider                            405 samples  weight: 0.9135
    IPA                              345 samples  weight: 1.0724
    Lager                            267 samples  weight: 1.3857
    Stout                            478 samples  weight: 0.7740
    Wheat                            433 samples  weight: 0.8544
  Config snapshot saved to results/v36/config_snapshot.json
======================================================================
Training
======================================================================
  Epoch [98/300]  loss: 1.1043  accuracy: 67.12%  val_loss: 1.1729  val_accuracy: 66.18%
  Epoch [99/300]  loss: 1.1092  accuracy: 65.30%  val_loss: 1.1378  val_accuracy: 66.91%
  Epoch [100/300]  loss: 1.0838  accuracy: 67.27%  val_loss: 1.1778  val_accuracy: 64.96%
  Epoch [101/300]  loss: 1.1026  accuracy: 66.49%  val_loss: 1.1763  val_accuracy: 66.91%
  Epoch [102/300]  loss: 1.0779  accuracy: 68.26%  val_loss: 1.1224  val_accuracy: 66.18%
  Epoch [103/300]  loss: 1.0578  accuracy: 68.57%  val_loss: 1.0846  val_accuracy: 69.59%
  Epoch [104/300]  loss: 1.0893  accuracy: 67.43%  val_loss: 1.1569  val_accuracy: 64.72%
  Epoch [105/300]  loss: 1.0662  accuracy: 67.69%  val_loss: 1.1368  val_accuracy: 63.99%
  Epoch [106/300]  loss: 1.0830  accuracy: 66.34%  val_loss: 1.1166  val_accuracy: 64.23%
  Epoch [107/300]  loss: 1.0722  accuracy: 69.14%  val_loss: 1.1541  val_accuracy: 62.77%
  Epoch [108/300]  loss: 1.0678  accuracy: 68.52%  val_loss: 1.1130  val_accuracy: 68.86%
  Epoch [109/300]  loss: 1.0312  accuracy: 71.37%  val_loss: 1.1786  val_accuracy: 64.23%
  Epoch [110/300]  loss: 1.0467  accuracy: 68.78%  val_loss: 1.1382  val_accuracy: 65.69%
  Epoch [111/300]  loss: 1.0493  accuracy: 68.15%  val_loss: 1.1094  val_accuracy: 65.69%
  Epoch [112/300]  loss: 1.0316  accuracy: 71.21%  val_loss: 1.1314  val_accuracy: 66.67%
  Epoch [113/300]  loss: 1.0367  accuracy: 70.07%  val_loss: 1.1601  val_accuracy: 65.69%
  Epoch [114/300]  loss: 1.0532  accuracy: 69.76%  val_loss: 1.1442  val_accuracy: 66.67%
  Epoch [115/300]  loss: 1.0337  accuracy: 70.64%  val_loss: 1.1452  val_accuracy: 66.67%
  Epoch [116/300]  loss: 1.0426  accuracy: 69.66%  val_loss: 1.1168  val_accuracy: 68.13%
  Epoch [117/300]  loss: 1.0188  accuracy: 71.16%  val_loss: 1.1520  val_accuracy: 65.94%
  Epoch [118/300]  loss: 1.0098  accuracy: 71.94%  val_loss: 1.1174  val_accuracy: 66.67%
  Epoch [119/300]  loss: 1.0334  accuracy: 71.68%  val_loss: 1.1156  val_accuracy: 67.15%
  Epoch [120/300]  loss: 1.0050  accuracy: 71.84%  val_loss: 1.1195  val_accuracy: 66.67%
  Epoch [121/300]  loss: 1.0144  accuracy: 71.89%  val_loss: 1.1139  val_accuracy: 69.34%
  Epoch [122/300]  loss: 1.0134  accuracy: 71.42%  val_loss: 1.1059  val_accuracy: 67.15%
  Epoch [123/300]  loss: 1.0098  accuracy: 71.01%  val_loss: 1.1795  val_accuracy: 65.45%
  Epoch [124/300]  loss: 0.9914  accuracy: 72.41%  val_loss: 1.1176  val_accuracy: 66.42%
  Epoch [125/300]  loss: 1.0011  accuracy: 72.46%  val_loss: 1.0997  val_accuracy: 65.45%
  Epoch [126/300]  loss: 0.9888  accuracy: 73.03%  val_loss: 1.1152  val_accuracy: 67.40%
  Epoch [127/300]  loss: 1.0161  accuracy: 72.30%  val_loss: 1.1724  val_accuracy: 64.96%
  Epoch [128/300]  loss: 0.9772  accuracy: 73.81%  val_loss: 1.1293  val_accuracy: 68.37%
  Epoch [129/300]  loss: 0.9893  accuracy: 72.61%  val_loss: 1.1442  val_accuracy: 65.45%
  Epoch [130/300]  loss: 0.9836  accuracy: 72.56%  val_loss: 1.1160  val_accuracy: 67.88%
  Epoch [131/300]  loss: 0.9673  accuracy: 73.86%  val_loss: 1.1283  val_accuracy: 67.15%
  Epoch [132/300]  loss: 0.9609  accuracy: 74.27%  val_loss: 1.1463  val_accuracy: 64.23%
  Epoch [133/300]  loss: 0.9794  accuracy: 73.81%  val_loss: 1.1038  val_accuracy: 64.96%
  Epoch [134/300]  loss: 0.9628  accuracy: 74.79%  val_loss: 1.1071  val_accuracy: 68.13%
  Epoch [135/300]  loss: 0.9654  accuracy: 74.90%  val_loss: 1.1063  val_accuracy: 67.88%
  Epoch [136/300]  loss: 0.9665  accuracy: 74.01%  val_loss: 1.1018  val_accuracy: 69.59%
  Epoch [137/300]  loss: 0.9686  accuracy: 74.48%  val_loss: 1.1285  val_accuracy: 68.13%
  Epoch [138/300]  loss: 0.9509  accuracy: 73.96%  val_loss: 1.1752  val_accuracy: 66.67%
  Epoch [139/300]  loss: 0.9480  accuracy: 76.09%  val_loss: 1.0773  val_accuracy: 68.13%
  Epoch [140/300]  loss: 0.9452  accuracy: 74.43%  val_loss: 1.1160  val_accuracy: 67.40%
  Epoch [141/300]  loss: 0.9441  accuracy: 75.47%  val_loss: 1.1023  val_accuracy: 66.91%
  Epoch [142/300]  loss: 0.9301  accuracy: 76.30%  val_loss: 1.0796  val_accuracy: 68.37%
  Epoch [143/300]  loss: 0.9503  accuracy: 75.41%  val_loss: 1.1102  val_accuracy: 68.61%
  Epoch [144/300]  loss: 0.9265  accuracy: 75.78%  val_loss: 1.1004  val_accuracy: 68.86%
  Epoch [145/300]  loss: 0.9416  accuracy: 75.47%  val_loss: 1.1085  val_accuracy: 67.40%
  Epoch [146/300]  loss: 0.9424  accuracy: 75.93%  val_loss: 1.1303  val_accuracy: 68.86%
  Epoch [147/300]  loss: 0.9375  accuracy: 75.57%  val_loss: 1.1312  val_accuracy: 67.88%
  Epoch [148/300]  loss: 0.9368  accuracy: 75.36%  val_loss: 1.0676  val_accuracy: 68.37%
  Epoch [149/300]  loss: 0.9216  accuracy: 77.44%  val_loss: 1.1227  val_accuracy: 70.56%
  Epoch [150/300]  loss: 0.9272  accuracy: 75.88%  val_loss: 1.1470  val_accuracy: 67.64%
  Epoch [151/300]  loss: 0.9286  accuracy: 76.92%  val_loss: 1.0951  val_accuracy: 68.37%
  Epoch [152/300]  loss: 0.9037  accuracy: 77.02%  val_loss: 1.1173  val_accuracy: 68.13%
  Epoch [153/300]  loss: 0.8967  accuracy: 77.70%  val_loss: 1.1136  val_accuracy: 67.40%
  Epoch [154/300]  loss: 0.8946  accuracy: 77.49%  val_loss: 1.1174  val_accuracy: 67.88%
  Epoch [155/300]  loss: 0.9164  accuracy: 77.54%  val_loss: 1.1829  val_accuracy: 64.48%
  Epoch [156/300]  loss: 0.8872  accuracy: 78.22%  val_loss: 1.1021  val_accuracy: 67.64%
  Epoch [157/300]  loss: 0.8827  accuracy: 79.20%  val_loss: 1.1130  val_accuracy: 68.86%
  Epoch [158/300]  loss: 0.8858  accuracy: 78.63%  val_loss: 1.1186  val_accuracy: 69.10%
  Epoch [159/300]  loss: 0.8805  accuracy: 79.56%  val_loss: 1.0807  val_accuracy: 68.86%
  Epoch [160/300]  loss: 0.8828  accuracy: 79.25%  val_loss: 1.0884  val_accuracy: 68.37%
  Epoch [161/300]  loss: 0.9042  accuracy: 77.75%  val_loss: 1.0903  val_accuracy: 68.13%
  Epoch [162/300]  loss: 0.8666  accuracy: 78.89%  val_loss: 1.1059  val_accuracy: 69.10%
  Epoch [163/300]  loss: 0.8671  accuracy: 79.20%  val_loss: 1.1438  val_accuracy: 68.13%
  Epoch [164/300]  loss: 0.8803  accuracy: 77.80%  val_loss: 1.1324  val_accuracy: 69.10%
  Epoch [165/300]  loss: 0.8829  accuracy: 79.36%  val_loss: 1.1264  val_accuracy: 68.37%
  Epoch [166/300]  loss: 0.8820  accuracy: 79.20%  val_loss: 1.0938  val_accuracy: 67.15%
  Epoch [167/300]  loss: 0.8686  accuracy: 79.51%  val_loss: 1.0649  val_accuracy: 69.34%
  Epoch [168/300]  loss: 0.8512  accuracy: 80.96%  val_loss: 1.1118  val_accuracy: 67.15%
  Epoch [169/300]  loss: 0.8644  accuracy: 80.13%  val_loss: 1.1000  val_accuracy: 67.40%
  Epoch [170/300]  loss: 0.8621  accuracy: 80.08%  val_loss: 1.0842  val_accuracy: 68.86%
  Epoch [171/300]  loss: 0.8707  accuracy: 80.45%  val_loss: 1.1334  val_accuracy: 66.91%
  Epoch [172/300]  loss: 0.8573  accuracy: 80.55%  val_loss: 1.0987  val_accuracy: 67.88%
  Epoch [173/300]  loss: 0.8507  accuracy: 80.65%  val_loss: 1.1256  val_accuracy: 68.86%
  Epoch [174/300]  loss: 0.8491  accuracy: 81.07%  val_loss: 1.0597  val_accuracy: 68.13%
  Epoch [175/300]  loss: 0.8245  accuracy: 82.26%  val_loss: 1.0878  val_accuracy: 68.37%
  Epoch [176/300]  loss: 0.8361  accuracy: 81.85%  val_loss: 1.0638  val_accuracy: 71.29%
  Epoch [177/300]  loss: 0.8415  accuracy: 80.65%  val_loss: 1.0961  val_accuracy: 71.53%
  Epoch [178/300]  loss: 0.8425  accuracy: 80.24%  val_loss: 1.1336  val_accuracy: 66.91%
  Epoch [179/300]  loss: 0.8182  accuracy: 82.88%  val_loss: 1.1166  val_accuracy: 67.15%
  Epoch [180/300]  loss: 0.8303  accuracy: 81.07%  val_loss: 1.1027  val_accuracy: 70.56%
  Epoch [181/300]  loss: 0.8286  accuracy: 82.00%  val_loss: 1.0998  val_accuracy: 69.10%
  Epoch [182/300]  loss: 0.8087  accuracy: 82.05%  val_loss: 1.1018  val_accuracy: 68.13%
  Epoch [183/300]  loss: 0.8391  accuracy: 81.59%  val_loss: 1.1384  val_accuracy: 66.91%
  Epoch [184/300]  loss: 0.8327  accuracy: 80.91%  val_loss: 1.1325  val_accuracy: 69.10%
  Epoch [185/300]  loss: 0.8093  accuracy: 82.47%  val_loss: 1.1084  val_accuracy: 69.34%
  Epoch [186/300]  loss: 0.8141  accuracy: 82.16%  val_loss: 1.1579  val_accuracy: 68.86%
  Epoch [187/300]  loss: 0.8183  accuracy: 81.95%  val_loss: 1.0988  val_accuracy: 69.10%
  Epoch [188/300]  loss: 0.8326  accuracy: 81.12%  val_loss: 1.0782  val_accuracy: 69.10%
  Epoch [189/300]  loss: 0.8175  accuracy: 82.31%  val_loss: 1.1080  val_accuracy: 67.15%
  Epoch [190/300]  loss: 0.8011  accuracy: 82.99%  val_loss: 1.0739  val_accuracy: 70.32%
  Epoch [191/300]  loss: 0.8160  accuracy: 82.11%  val_loss: 1.0878  val_accuracy: 70.07%
  Epoch [192/300]  loss: 0.8060  accuracy: 83.20%  val_loss: 1.1349  val_accuracy: 71.05%
  Epoch [193/300]  loss: 0.8039  accuracy: 83.51%  val_loss: 1.0859  val_accuracy: 68.13%
  Epoch [194/300]  loss: 0.7903  accuracy: 84.28%  val_loss: 1.0848  val_accuracy: 68.13%
  Epoch [195/300]  loss: 0.7805  accuracy: 85.11%  val_loss: 1.1155  val_accuracy: 66.91%
